02;Evangelische Theologie, -Religionslehre;Old label: Evang. Theologie, -Religionslehre
03;Katholische Theologie, -Religionslehre;Old label: Kath. Theologie, -Religionslehre
030;Interdisziplin. Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften);Old label: Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)
04;Philosophie;Old label: Studienbereich Philosophie
040;Interdiszipl. Studien (Schwerpunkt Kunst, Kunstwissenschaft);Old label: Interdisziplinäre Studien (Schwerpunkt Kunst, Kunstwissenschaft)
049;Interdisziplin. Studien (Schwerpunkt Naturwissenschaften);Old label: Interdisziplinäre Studien (Schwerpunkt Naturwissenschaften)
05;Geschichte;Old label: Studienbereich Geschichte
073;Judaistik/Hebräisch ;Old label: Judaistik/Hebräisch
08;Altphilologie (klassische Philologie), Neugriechisch;Old label: Altphilologie (klass. Philologie), Neugriechisch
120;Nordistik/Skandinavistik (Nord. Philologie, Einzelsprachen a.n.g.);Old label: Nordistik/Skandinavistik (Nordische Philologie, Einzelsprachen a.n.g.)
122;Orientalistik, Altorientalistik;Old label: Orientalistik/Altorientalistik
137;Romanistik (Romanische Philologie, Einzelsprachen a.n.g.);Old label: Romanistik (Roman. Philologie, Einzelsprachen a.n.g.)
153;Südslawisch (Bulgarisch, Serbokroatisch, Slowenisch usw.);Old label: Südslawisch (Bulgarisch, Serbokroatisch Slowenisch usw.)
182;Intern. Betriebswirtschaft/Management;Old label: Internationale Betriebswirtschaft/Management
186;Lernbereich Naturwissenschaft/Sachunterricht;Old label: Lernbereich Naturwissenschaften/Sachunterricht
232;Gesundheitswissenschaften/-management;Old label: Gesundheitswissenschaft/-management
32;Psychologie;Old label: Studienbereich Psychologie
41;Pharmazie;Old label: Studienbereich Pharmazie
50;Zahnmedizin;Old label: Studienbereich Zahnmedizin
70;Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt;Old label: Studienbereich Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt
31;Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt;Old label: Studienbereich Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt
67;Raumplanung;Old label: Studienbereich Raumplanung
27;Sozialwesen;Old label: Studienbereich Sozialwesen
40;Chemie;Old label: Studienbereich Chemie
42;Biologie;Old label: Studienbereich Biologie
75;Bildende Kunst;Old label: Studienbereich Bildende Kunst
71;Informatik;Old label: Studienbereich Informatik
30;Wirtschaftswissenschaften;Old label: Studienbereich Wirtschaftswissenschaften
